,ma_fast,ma_slow,atr,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
1521,50,130,2,portf.139,EURJPY,40,20,13242.72586597,662.136293298502,-1150.96400661,19588.118,-2763.921,35755.808,-22513.08213403,5926.06233888791,10,90,1.5882235842756,17877.904,17877.904,-1250.72678522389,-1157.38642011,662.136293298502,-1150.96400661,5926.06233888791,1.77370523553424,-20277.37254933,0.653078984160975,14.2940122584804,15.4467891530133,27540.0316995701,-6822.11475109999,13242.72586597
1522,50,130,2,portf.139,EURUSD,50,25,-3358.96741606228,-134.358696642487,-1336.16430002039,17622.74872,-1695.3800106012,25700.21867,-29059.1860860622,3989.32758144595,12,88,0.884409446083101,8566.73955666667,4234.91376,-1320.87209482101,-1345.58749549079,-134.358696642487,-1336.16430002039,3989.32758144595,-0.534646038266845,-37737.8757112343,-0.0890078562387744,6.48566927127608,3.14726004380365,34378.908295172,-5812.61005482796,-3358.96741606228
1523,50,130,2,portf.139,GBPJPY,32,16,-15604.2441383501,-975.265258646879,-1207.24565962501,2839.68,-1587.41388156001,2839.68,-18443.9241383501,1039.04210526199,6.25,93.75,0.153962897412678,2839.68,2839.68,-1229.59494255667,-1314.35368848002,-975.265258646879,-1207.24565962501,1039.04210526199,-14.9001238176971,-22514.3075250401,-0.693081238274608,2.30944346119017,2.16051434624416,6910.06338668996,-15604.2441383501,-15604.2441383501
1524,50,130,2,portf.139,GBPUSD,50,25,2740.46674256516,109.618669702609,-1486.68078109319,27264.51495,-1736.17909588528,34958.61735,-32218.1506074348,5945.56381950324,12,88,1.08505971605747,11652.87245,7562.03040000002,-1464.46139124704,-1507.62453324075,109.618669702609,-1486.68078109319,5945.56381950324,0.292679128056587,-31164.6174024498,0.0879351960967674,7.95710458442145,5.01585788322566,33905.084145015,-2977.20760498501,2740.46674256516
1525,50,130,2,portf.139,NZDUSD,52,26,47297.8485998227,1819.1480230701,-1756.25251218862,27662.4546299999,-2200.15727114821,84944.9400999999,-37647.0915001773,8618.52501915267,15.3846153846154,84.6153846153846,2.25634801295606,21236.235025,20020.128615,-1711.23143182624,-1797.8587413921,1819.1480230701,-1756.25251218862,8618.52501915267,3.35069858684344,-31290.3475096606,1.51157952417179,12.4099140712583,11.1355403814975,64996.8864403489,-2826.07505559,47297.8485998227
1526,50,130,2,portf.139,USDCAD,40,20,46218.0404754597,2310.90202377299,-1638.10258913278,28501.18695,-2184.16219022001,72060.81085,-25842.7703745403,8616.7399360302,25,75,2.78843211488628,14412.16217,11066.39296,-1722.85135830269,-1835.44459106301,2310.90202377299,-1638.10258913278,8616.7399360302,4.2573447298139,-34543.4171676699,1.33796955440518,8.36529634465885,6.02927106265342,56665.3855922517,-1012.75262827199,46218.0404754597
1527,50,130,2,portf.139,USDCHF,50,25,-22953.4645548179,-918.13858219272,-1804.42919538321,8249.06511,-2390.41875723424,15964.06461,-38917.529164818,2706.63967173616,8,92,0.410202419130754,7982.032305,7982.032305,-1692.06648542687,-1806.22698498,-918.13858219272,-1804.42919538321,2706.63967173616,-5.38490523790452,-60557.933991236,-0.37903315126536,4.71732782000367,4.4191745397317,37604.4694364182,-22953.4645548179,-22953.4645548179
1528,50,130,2,portf.139,USDHKD,50,25,-32000.79076602,-1280.03163064093,-1763.86494710391,4164.1620499999,-2676.92909901661,7457.20271999978,-39457.9934860231,1569.96469123282,12,88,0.188990925821945,2485.73423999993,2615.12016999985,-1793.54515845559,-1889.2694285411,-1280.03163064093,-1763.86494710391,1569.96469123282,-12.9428848325743,-36328.9946182505,-0.880860896435152,1.3859334560276,1.3841965208844,4328.20385223057,-32000.79076602,-32000.79076602
1529,50,130,2,portf.139,USDJPY,53,26,124453.52351528,4619.53390443384,-1226.47100624999,74174.832,-2442.17538240002,149249.709,-29141.8274847199,17289.4308029809,30.7692307692308,69.2307692307692,5.12149449372235,18656.213625,4977.25399999999,-1618.99041581777,-1746.35172746998,4619.53390443384,-1226.47100624999,17289.4308029809,4.24148302744216,-33835.5,3.67819371711013,11.5233626108753,2.85008679620959,141238.66440578,-8448.09286090001,124453.52351528
1530,60,130,2,portf.140,AUDUSD,42,21,9607.82775428046,457.515607346687,-975.844574440002,23228.5832,-1114.50498219061,28281.11849,-18673.2907357195,5381.13428326648,9.52380952380952,90.4761904761905,1.51452247438647,14140.559245,14140.559245,-982.804775564186,-976.359703200012,457.515607346687,-975.844574440002,5381.13428326648,1.34968479236897,-16519.293835563,0.5816124980837,14.3879635066715,14.4829402510718,26127.1215898434,-9251.53409015654,9607.82775428046
1531,60,130,2,portf.140,EURGBP,47,23,-12744.3357384983,-489.412369065143,-1199.526097614,10955.7925,-1626.01600000001,12548.7519,-23805.2363884983,2576.62859167431,17.3913043478261,82.6086956521739,0.527142503237777,3137.187975,723.406899999999,-1252.90717834201,-1294.7528988492,-489.412369065143,-1199.526097614,2576.62859167431,-3.01525044305416,-31910.8623107583,-0.399372966308144,2.50392689037944,0.558721977485414,19166.52657226,-12744.3357384983,-12744.3357384983
1532,60,130,2,portf.140,EURJPY,39,19,14243.70657494,591.145609207369,-1182.64707299999,20171.595,-2301.154,32698.975,-21467.20842506,5704.28902962077,10.5263157894737,89.4736842105263,1.52320573558267,16349.4875,16349.4875,-1262.77696618,-1186.52502016,591.145609207369,-1182.64707299999,5704.28902962077,1.64510346071414,-24281.03223816,0.586618659175231,12.9472487524527,13.7793027725579,20304.02457494,-8939.82842506003,14243.70657494
1533,60,130,2,portf.140,EURUSD,46,23,75478.9210919107,3281.69222138743,-1403.86930465051,59271.1992,-2295.45789289201,103867.74484,-28388.8237480893,13285.43603893,21.7391304347826,78.2608695652174,3.65875478891552,20773.548968,9684.97244000001,-1577.15687489385,-1509.38860249055,3281.69222138743,-1403.86930465051,13285.43603893,3.92122989646888,-35201.8858780442,2.14417265465279,13.1715172400959,6.41648706239033,110680.806969955,-6406.84934681907,75478.9210919107
1534,60,130,2,portf.140,GBPJPY,32,16,-7685.4325894802,-480.339536842509,-1517.67709507002,15281.539,-2292.42689462,15281.539,-22966.9715894802,4228.15993482815,6.25,93.75,0.665370222646141,15281.539,15281.539,-1531.13143929868,-1526.33510402002,-480.339536842509,-1517.67709507002,4228.15993482815,-1.80342131652437,-26580.0806738802,-0.289142560693299,9.98055333969211,10.0119160987335,18894.6480844,-7685.4325894802,-7685.4325894802
1535,60,130,2,portf.140,GBPUSD,42,21,-19950.0861936142,-950.004104457822,-1475.66400532826,5042.257,-2244.83479574396,8745.35263,-28695.4388236143,1813.4921911054,9.52380952380952,90.4761904761905,0.30476455452576,4372.676315,4372.676315,-1510.28625387444,-1489.01154052078,-950.004104457822,-1475.66400532826,1813.4921911054,-8.31591539422276,-36118.0376429208,-0.552357976666666,2.89526326799472,2.93663023825233,16167.9514493066,-19950.0861936142,-19950.0861936142
1536,60,130,2,portf.140,NZDUSD,44,22,33390.1912131002,1517.73596423183,-1423.95128031447,47725.56544,-2276.35472050559,64675.51664,-31285.3254268998,11054.0388881106,9.09090909090909,90.9090909090909,2.06727965132147,32337.75832,32337.75832,-1564.26627134499,-1463.57975651421,1517.73596423183,-1423.95128031447,11054.0388881106,2.17959351755235,-29120.0057508576,1.14664095532044,20.6727965132147,22.0949751293489,54878.8064891424,-5509.12055085761,33390.1912131002
1537,60,130,2,portf.140,USDCAD,36,18,-13003.8538273328,-722.436323740718,-1551.82177555799,11026.7248,-2531.79008999999,14069.42725,-27073.281077333,3168.91882179848,11.1111111111111,88.8888888888889,0.51967942894737,7034.71362500001,7034.71362500001,-1692.08006733331,-1588.18400342279,-722.436323740718,-1551.82177555799,3168.91882179848,-3.61900122694762,-27951.5931053514,-0.465227644747132,4.15743543157896,4.42940717816015,14947.7392780186,-13003.8538273328,-13003.8538273328
1538,60,130,2,portf.140,USDCHF,53,26,-30953.1272524137,-1485.16418816976,-1537.95924672826,4920.58908,-2964.44883,4920.58908,-43534.8579724137,1400.65135148905,3.84615384615385,96.1538461538462,0.11302641857975,4920.58908,4920.58908,-1741.39431889655,-1540.53258217651,-1485.16418816976,-1537.95924672826,1400.65135148905,-16.8323477237313,-68631.8580146606,-0.451002320901786,2.82566046449375,3.19408309628093,30017.5891222468,-38614.2688924137,-30953.1272524137
1539,60,130,2,portf.140,USDHKD,50,25,-30093.6914179758,-1203.74765671892,-1372.51382593898,2126.11499999987,-3347.53771694258,5201.67721000066,-35295.3686279737,1260.48231423587,16,84,0.147375630633817,1300.41930250017,1104.62854500023,-1680.73183942732,-1502.95544419261,-1203.74765671892,-1372.51382593898,1260.48231423587,-15.1599918776444,-32528.2003048824,-0.925156975667629,0.773722060827538,0.734970919642692,2434.50888690655,-30093.6914179758,-30093.6914179758
1540,60,130,2,portf.140,USDJPY,57,28,84573.0107416999,2911.83681220357,-1255.82067752999,41119.468,-2670.67750320002,112507.179,-30975.7482583,11324.8291681512,21.4285714285714,78.5714285714286,3.63210528642689,18751.1965,10951.286,-1407.98855719546,-1317.01103424001,2911.83681220357,-1255.82067752999,11324.8291681512,4.08164888799896,-26378.842,3.20609262308405,13.3177193835653,8.31525759107973,107106.6487417,-10988.81151496,84573.0107416999
1541,70,130,2,portf.141,AUDUSD,46,23,36995.5863855868,1608.50375589508,-1086.53285072499,33708.5259,-1569.291883692,58843.99467,-21848.4082844131,7778.07389265077,17.3913043478261,82.6086956521739,2.69328519972688,14710.9986675,9514.10017500001,-1149.91622549543,-1110.53493144003,1608.50375589508,-1086.53285072499,7778.07389265077,3.28284429776332,-17772.1513812345,2.08166054812307,12.7931046987027,8.56713274445414,43654.2833602213,-1624.92672619599,36995.5863855868
1542,70,130,2,portf.141,EURGBP,38,19,7857.39759703,413.547241948945,-725.920767040004,10648.438,-1058.16624408801,19969.86468,-12112.46708297,3142.62959481668,15.7894736842105,84.2105263157895,1.64870331891984,6656.62156,7379.00748000001,-757.029192685627,-755.437769243387,413.547241948945,-725.920767040004,3142.62959481668,2.08897000024094,-14927.057664665,0.526386229191695,8.79308436757247,9.7678561761487,14919.036045335,-6216.521564665,7857.39759703
1543,70,130,2,portf.141,EURJPY,40,20,16450.666027,822.533301349999,-729.834299480003,12764.352,-1384.90250283,29160.702,-12710.035973,3771.1632651801,20,80,2.29430522950102,7290.1755,7188.972,-794.377248312502,-755.909466330003,822.533301349999,-729.834299480003,3771.1632651801,3.46240945949146,-11576.88841817,1.42099201726611,9.17722091800407,9.51036112155468,27882.16052983,-2481.797052,16450.666027
1544,70,130,2,portf.141,EURUSD,46,23,22994.5206275225,999.761766414022,-704.013151062008,36382.64292,-1446.39177930001,41434.47855,-18439.9579224775,7816.85626387559,8.69565217391304,91.304347826087,2.24699420270874,20717.239275,20717.239275,-878.09323440369,-715.176352799995,999.761766414022,-704.013151062008,7816.85626387559,2.03032082076231,-14533.29441957,1.58219602271037,23.5934391284418,28.9680149432929,37527.8150470925,-7122.8857965096,22994.5206275225
1545,70,130,2,portf.141,GBPJPY,36,18,42332.74079978,2351.81893332111,-674.448566669991,44259.39,-1383.35417622,54375.909,-12043.16820022,10736.4679206127,22.2222222222222,77.7777777777778,4.51508341459574,13593.97725,4910.777,-860.226300015711,-684.881826850001,2351.81893332111,-674.448566669991,10736.4679206127,3.47730449467917,-13070.78372417,3.23873010931241,15.8027919510851,7.17025449862832,55403.52452395,-2576.53660649999,42332.74079978
1546,70,130,2,portf.141,GBPUSD,42,21,2340.34942081365,111.445210514934,-717.420750637488,9868.30649999997,-1474.53077464018,17258.01714,-14917.6677191864,2560.95520097119,19.047619047619,80.9523809523809,1.15688440477888,4314.50428499999,2810.22661000001,-877.509865834493,-723.036453848008,111.445210514934,-717.420750637488,2560.95520097119,0.690811721470027,-13810.1766153506,0.169465567747501,4.91675872031022,3.88670114078474,16150.5260361642,-2112.06433454199,2340.34942081365
1547,70,130,2,portf.141,NZDUSD,44,22,34399.7610479031,1563.62550217741,-884.508935887198,30657.24092,-1984.19359622401,54926.30502,-20526.5439720969,7845.54107669915,13.6363636363636,86.3636363636364,2.67586716471438,18308.76834,18727.716,-1080.34441958405,-889.350783455403,1563.62550217741,-884.508935887198,7845.54107669915,3.16380796324156,-16462.712,2.08955614651481,16.9471587098577,21.0577382382653,50378.3418294762,0,34399.7610479031
1548,70,130,2,portf.141,USDCAD,39,19,18306.2410396297,949.660895769984,-883.354898764811,20414.3835,-1934.19284996188,35569.33131,-17525.7742903703,5907.84703452487,15.7894736842105,84.2105263157895,2.02954407153034,11856.44377,14353.58853,-1095.36089314814,-918.512731125016,949.660895769984,-883.354898764811,5907.84703452487,2.55175858010576,-12240.5082663648,1.49554582548935,10.8242350481618,15.6269892007043,29755.9209586382,-8734.88301499702,18306.2410396297
1549,70,130,2,portf.141,USDCHF,50,25,-25482.073577394,-1019.28294309576,-903.492884618999,2605.8297,-1951.606427656,2605.8297,-28087.903277394,878.406871234765,4,96,0.0927740911902547,2605.8297,2605.8297,-1170.32930322475,-906.992361627448,-1019.28294309576,-903.492884618999,878.406871234765,-18.420410436343,-40445.6259959989,-0.630032863872962,2.22657818856611,2.8730448129952,14963.552418605,-25482.073577394,-25482.073577394
1550,70,130,2,portf.141,USDHKD,54,27,-18598.54147718,-688.834869525206,-877.63859909992,2525.80741999968,-2953.79630296871,8850.79074999984,-27449.3322271804,1322.94692052323,18.5185185185185,81.4814814814815,0.322441022490003,1770.15814999997,1952.0770799999,-1247.69691941729,-978.919136159999,-688.834869525206,-877.63859909992,1322.94692052323,-8.26557315738345,-21257.5237138907,-0.874915711138395,1.41874049895601,1.9941147413435,2658.98223671073,-18598.54147718,-18598.54147718
1551,70,130,2,portf.141,USDJPY,45,22,17853.57956961,658.118344073178,-839.369064450005,24944.327,-1895.53241904001,31871.239,-17392.6354303901,5592.39386987288,18.1818181818182,81.8181818181818,1.83245599136239,7967.80975,3342.09099999998,-966.257523910559,-892.578616410006,658.118344073178,-839.369064450005,5592.39386987288,1.86812750909497,-20668.968,0.863786695572316,8.24605196113074,3.74430995607091,32586.30956961,-13009.25450563,17853.57956961
1552,80,130,2,portf.142,AUDUSD,40,20,24154.6829208955,1207.73414604477,-1059.2918810932,20243.94027,-1260.319864446,42081.27206,-17926.5891391045,5583.37669344681,20,80,2.34742212996923,10520.318015,8927.533375,-1120.41182119403,-1138.33119437879,1207.73414604477,-1059.2918810932,5583.37669344681,3.4337975484253,-11542.71008,2.09263533030671,9.38968851987693,7.84265020504151,32080.2232159819,-3044.04606294599,24154.6829208955
1553,80,130,2,portf.142,EURGBP,41,20,37509.4559203157,1975.16941851579,-735.189986012989,20521.56708,-1186.8823238976,51490.11282,-11986.7244496842,6312.71060656427,25,75,4.29559493389009,10298.022564,9244.41124,-799.114963312281,-752.694369745508,1975.16941851579,-735.189986012989,6312.71060656427,4.96693804386863,-11471.9209844809,3.26967523321145,12.8867848016703,12.2817595183097,47853.0834142134,-556.772838714969,37509.4559203157
1554,80,130,2,portf.142,EURJPY,44,22,7259.21459667997,329.964299849091,-767.163737310002,15018,-1317.35835,23180.415,-15921.20040332,3612.84887299129,18.1818181818182,81.8181818181818,1.45594643700146,5795.10375,3891.4575,-884.511133517779,-785.180685719999,329.964299849091,-767.163737310002,3612.84887299129,1.4498311603177,-13258.17724424,0.547527345799643,6.55175896650658,4.95612993387833,18476.94336136,-6582.05663864002,7259.21459667997
1555,80,130,2,portf.142,EURUSD,45,22,94731.1112382217,3536.51099582826,-1062.7507161624,55769.74706,-2154.44781725363,101773.68245,-23970.4405417783,13891.1536685658,18.1818181818182,81.8181818181818,4.2457994158521,25443.4206125,20622.65574,-1331.69114120991,-1066.74481012639,3536.51099582826,-1062.7507161624,13891.1536685658,4.04144774165745,-23441.252647593,4.04121369546132,19.1060973713345,19.3323234800239,101244.494555815,-1067.20748659197,94731.1112382217
1556,80,130,2,portf.142,GBPJPY,40,20,56101.2657382201,2805.063286911,-1035.21359295999,43732.15,-2195.37152506002,74614.694,-18513.42826178,10495.4170047808,35,65,4.03030130049107,10659.242,3637.78799999999,-1424.10986629077,-1123.24043519999,2805.063286911,-1035.21359295999,10495.4170047808,4.24270890746886,-15749.91322135,3.56200475201167,7.48484527234057,3.23865477594944,71851.1789595701,-2049.74148159999,56101.2657382201
1557,80,130,2,portf.142,GBPUSD,42,21,694.000288528427,33.0476327870636,-1081.52454825802,10283.26056,-3141.19335999998,24784.20991,-24090.2096214717,3441.42947019511,19.047619047619,80.9523809523809,1.02880839558614,6196.0524775,5793.28707499999,-1417.07115420422,-1106.4610340784,33.0476327870636,-1081.52454825802,3441.42947019511,0.152440987440601,-29706.037828816,0.0233622636760807,4.37243568124109,5.23587085000727,30400.0381173444,-8895.4820826556,694.000288528427
1558,80,130,2,portf.142,NZDUSD,40,20,36044.433950959,1802.22169754795,-1089.07937532799,43194.30687,-2533.7169646224,56433.87495,-20389.4409990409,9986.26743439505,20,80,2.76779902659688,14108.4687375,5014.08330499998,-1274.34006244006,-1101.33300299971,1802.22169754795,-1089.07937532799,9986.26743439505,2.86487245636562,-21176.1602376882,1.70212321527531,11.0711961063875,4.55274044393758,57220.5941886473,-4503.86187264197,36044.433950959
1559,80,130,2,portf.142,USDCAD,38,19,26719.3659561283,1406.28241874359,-1124.32844655558,23150.11478,-2840.37243059526,49818.47146,-23099.1055038718,7010.42892225891,26.3157894736842,73.6842105263158,2.15672730061559,9963.694292,4806.47460000001,-1649.93610741941,-1321.234742178,1406.28241874359,-1124.32844655558,7010.42892225891,3.18440448740965,-28544.9032333962,0.936046822007365,6.03883644172364,3.63786573767863,55264.2691895245,-999.255125735974,26719.3659561283
1560,80,130,2,portf.142,USDCHF,54,27,-26007.3798441743,-963.236290524973,-1178.49270342718,14464.669,-2927.06183951998,15085.68602,-41093.0658641743,3205.7350911947,7.40740740740741,92.5925925925926,0.367110258209086,7542.84301,7542.84301,-1643.72263456697,-1245.83706609999,-963.236290524973,-1178.49270342718,3205.7350911947,-4.76985828090682,-64490.0764443526,-0.403277237027556,4.58887822761358,6.05443778744872,38482.6966001782,-26007.3798441743,-26007.3798441743
1561,80,130,2,portf.142,USDHKD,58,29,-17750.6328831452,-612.090789073829,-1230.07741894653,4999.63758000104,-3283.53106573886,20514.6858400006,-38265.3187231416,2241.26267013151,24.1379310344828,75.8620689655172,0.536116946743056,2930.66940571436,2844.67232000014,-1739.33266923371,-1367.51482308516,-612.090789073829,-1230.07741894653,2241.26267013151,-4.33534193719727,-28034.2059151256,-0.633177659352501,1.68493897547817,2.08017658893266,8568.17899761698,-19466.0269175086,-17750.6328831452
1562,80,130,2,portf.142,USDJPY,46,23,26059.27913584,1133.01213634087,-1125.27558405,39968.1,-2873.86247999999,52224.78,-26165.50086416,8772.29117783088,17.3913043478261,82.6086956521739,1.99594039002458,13056.195,5442.08999999997,-1377.13162442947,-1143.43283925,1133.01213634087,-1125.27558405,8772.29117783088,2.05032068663082,-27780.47243742,0.938043051447118,9.48071685261677,4.75943126101708,53839.75157326,-10202.46525516,26059.27913584
1563,90,130,2,portf.143,AUDUSD,48,24,-4913.56678736051,-204.731949473357,-963.934013705696,10765.9536,-1128.43578429538,16616.3132,-21529.8799873606,2720.76932835921,8.33333333333333,91.6666666666667,0.771779183616205,8308.1566,8308.1566,-978.630908516389,-975.521464351206,-204.731949473357,-963.934013705696,2720.76932835921,-1.19452204512156,-15072.582578986,-0.325993688315295,8.48957101977825,8.51663126195336,7138.92056862308,-7933.66201036292,-4913.56678736051
1564,90,130,2,portf.143,EURGBP,38,19,-7077.39844390341,-372.494654942282,-986.129167356014,11181.31,-1192.40618804998,11181.31,-18258.7084439034,2798.89909824219,5.26315789473684,94.7368421052632,0.612382307015449,11181.31,11181.31,-1014.37269132796,-1006.25063046901,-372.494654942282,-986.129167356014,2798.89909824219,-2.11267684990226,-24863.4695174594,-0.284650476432245,11.0228815262781,11.1118539073992,17786.0710735559,-7077.39844390341,-7077.39844390341
1565,90,130,2,portf.143,EURJPY,52,26,54114.98189537,2081.34545751423,-909.655282544989,37110.971,-1212.4628736,72930.373,-18815.39110463,8075.56892163162,26.9230769230769,73.0769230769231,3.87610188884427,10418.6247142857,5853.32,-990.283742348947,-978.359919999991,2081.34545751423,-909.655282544989,8075.56892163162,4.09139407497052,-11722.61902428,4.61628768991696,10.5208479840059,5.98278801118514,64667.66483921,-7237.8562696,54114.98189537
